number,source,year,fert_type,ISO,Town,ppp_price_kg,rel_price,longitude,latitude,acc50,acc100,acc250,distPort,popD,ral_pop,prec,crop_ha,nat_avg
226111,Afr,2013,Urea,TZA,Dar es Salaam,1.62,1.15,39.2083284,-6.792354,0.300000012,0.300000012,0.300000012,1.5,8088,0,1281,0.006936222,1.41
226322,Afr,2013,Urea,TZA,Morogoro,1.46,1.03,37.661493,-6.816536,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,1.41
226422,Afr,2013,Urea,TZA,Musoma,1.76,1.24,33.800019,-1.500152,0.400000006,0.400000006,4.599999905,23.60000038,680,48,1540,0.99859,1.41
22651,Afr,2013,Urea,TZA,Tarakea Rombo,1.42,1,37.565349,-3.002242,6.699999809,6.699999809,11.60000038,15.69999981,154,192,777,0.361105316,1.41
22658,Afr,2013,Urea,TZA,Arusha,1.78,1.26,36.694023,-3.372658,0.100000001,0.100000001,6.199999809,10.30000019,6449,0,754,0.00124011,1.41
22685,Afr,2013,Urea,TZA,Chimala,1.38,0.98,34.025154,-8.856616,3.5,3.5,3.5,17.29999924,115,27,1324,0.044958394,1.41
22700,Afr,2013,Urea,TZA,Bunda,1.76,1.24,33.874593,-2.01862,2.200000048,2.200000048,3.799999952,23.89999962,752,91,1408,0.604245783,1.41
22738,Afr,2013,Urea,TZA,Rujewa,1.26,0.89,34.380937,-8.706782,2,3.200000048,3.200000048,17.79999924,578,27,1263,0.664026767,1.41
227592,Afr,2013,Urea,TZA,Siha,1.78,1.26,37.3699163,-3.4704552,1.100000024,1.100000024,7.5,14.69999981,77,277,829,1,1.41
22768,Afr,2013,Urea,TZA,Vwawa,1.48,1.05,32.937921,-9.110307,2.299999952,2.299999952,2.299999952,19.29999924,223,52,1439,0.368521961,1.41
227731,Afr,2013,Urea,TZA,Itumba mlale,1.32,0.93,33.191639,-9.403939,6.800000191,6.800000191,6.800000191,28.89999962,54,55,1549,0.478729513,1.41
22777,Afr,2013,Urea,TZA,Mahenge,1.42,1,36.716935,-8.682613,1.399999976,11.89999962,12.69999981,27.79999924,69,123,1517,0.523737694,1.41
22779,Afr,2013,Urea,TZA,Mangula,1.46,1.03,34.888822,-6.369028,4.900000095,4.900000095,9.800000191,23.70000076,6,0,913,0.001467689,1.41
22784,Afr,2013,Urea,TZA,Mlimba,1.66,1.17,35.8089055,-8.7824511,5.199999809,8.199999809,8.699999809,65.40000153,415,0,1490,0.660906676,1.41
227892,Afr,2013,Urea,TZA,Mvomero,1.54,1.09,38.693748,-6.235617,1.899999976,2.799999952,3.200000048,14.5,30,0,1148,0,1.41
22799,Afr,2013,Urea,TZA,Olboloti,1.3,0.92,34.888822,-6.369028,4.900000095,4.900000095,9.800000191,23.70000076,6,0,913,0.001467689,1.41
228031,Afr,2013,Urea,TZA,Tunduma,1.36,0.96,32.768951,-9.30956,2.200000048,2.200000048,2.200000048,18.79999924,766,53,1489,0.925388283,1.41
22806,Afr,2013,Urea,TZA,Kilombero,1.54,1.09,37.1258593,-8.0677121,16.20000076,18.10000038,18.89999962,27.60000038,5,0,1388,0,1.41
22816,Afr,2013,Urea,TZA,Babati,1.76,1.24,35.745887,-4.21017,0.699999988,3.5,8.899999619,13.69999981,346,60,761,1,1.41
22817,Afr,2013,Urea,TZA,Ifakara,1.46,1.03,36.681723,-8.139889,0.400000006,4.099999905,5,18.60000038,138,154,1421,1,1.41
22818,Afr,2013,Urea,TZA,Kiteto,1.42,1,36.7819505,-5.5527661,7.199999809,7.199999809,9.199999809,25.10000038,8,10,1010,0.596250737,1.41
22824,Afr,2013,Urea,TZA,Kongwa,1.62,1.15,36.417495,-6.197011,1.799999952,1.799999952,4.599999905,8.899999619,95,29,1010,0.968449347,1.41
22829,Afr,2013,Urea,TZA,Mbande,2.36,1.67,39.213815,-6.978491,2.5,2.5,2.5,5.599999905,628,242,1288,0.594133836,1.41
22941,Afr,2014,Urea,TZA,Dar es Salaam,1.08,0.96,39.2083284,-6.792354,0.300000012,0.300000012,0.300000012,1.5,8088,0,1281,0.006936222,1.13
22962,Afr,2014,Urea,TZA,Morogoro,1.22,1.08,37.661493,-6.816536,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,1.13
230152,Afr,2014,Urea,TZA,Chimala,1.1,0.97,34.025154,-8.856616,3.5,3.5,3.5,17.29999924,115,27,1324,0.044958394,1.13
23030,Afr,2014,Urea,TZA,Bunda,1.56,1.38,33.874593,-2.01862,2.200000048,2.200000048,3.799999952,23.89999962,752,91,1408,0.604245783,1.13
23033,Afr,2014,Urea,TZA,Mbozi,1,0.88,32.3107517,-8.9662272,6.5,6.5,10.5,26.29999924,19,51,1393,0,1.13
230801,Afr,2014,Urea,TZA,Songea,1.04,0.92,35.642366,-10.646216,1.100000024,1.100000024,25.60000038,25.70000076,241,44,1411,0.534927288,1.13
23098,Afr,2014,Urea,TZA,Vwawa,1.02,0.9,32.937921,-9.110307,2.299999952,2.299999952,2.299999952,19.29999924,223,52,1439,0.368521961,1.13
231031,Afr,2014,Urea,TZA,Itumba mlale,1.08,0.96,33.191639,-9.403939,6.800000191,6.800000191,6.800000191,28.89999962,54,55,1549,0.478729513,1.13
231092,Afr,2014,Urea,TZA,Mangula,1.26,1.12,34.888822,-6.369028,4.900000095,4.900000095,9.800000191,23.70000076,6,0,913,0.001467689,1.13
23119,Afr,2014,Urea,TZA,Mvomero,1.14,1.01,38.693748,-6.235617,1.899999976,2.799999952,3.200000048,14.5,30,0,1148,0,1.13
231482,Afr,2014,Urea,TZA,Kiteto,1.58,1.4,36.7819505,-5.5527661,7.199999809,7.199999809,9.199999809,25.10000038,8,10,1010,0.596250737,1.13
23154,Afr,2014,Urea,TZA,Kongwa,1.3,1.15,36.417495,-6.197011,1.799999952,1.799999952,4.599999905,8.899999619,95,29,1010,0.968449347,1.13
23162,Afr,2014,Urea,TZA,Mbarali,0.98,0.87,34.4308824,-8.9029857,2.099999905,3.599999905,3.599999905,15.69999981,46,55,1346,0,1.13
23170,Afr,2014,Urea,TZA,Ileje,1.26,1.12,33.3934943,-9.3930007,6.400000095,6.400000095,6.400000095,38.29999924,92,55,1563,0.17768581,1.13
23176,Afr,2014,Urea,TZA,Kinondoni,1.08,0.96,39.112735,-6.77424,0.699999988,0.699999988,0.699999988,1.700000048,2269,171,1279,0,1.13
23185,Afr,2014,Urea,TZA,Morogoro Urban,1.16,1.03,37.6591144,-6.8277556,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,1.13
231911,Afr,2014,Urea,TZA,Moshi Urban,1.12,0.99,37.430586,-3.533042,1.200000048,1.200000048,7.400000095,11,93,289,844,0.005462534,1.13
23194,Afr,2014,Urea,TZA,Simanjiro,1.58,1.4,37.1258593,-4.439505,4.300000191,4.300000191,8.699999809,20.89999962,9,10,826,0,1.13
232821,Afr,2015,Urea,TZA,Iringa Rural,1.06,1.06,35.5657862,-7.7887442,2.400000095,2.400000095,8.100000381,15.30000019,29,0,1180,0.040725142,1
233183,Afr,2015,Urea,TZA,Arusha,1.06,1.06,36.694023,-3.372658,0.100000001,0.100000001,6.199999809,10.30000019,6449,0,754,0.00124011,1
23330,Afr,2015,Urea,TZA,Moshi Rural,1.04,1.04,37.470878,-3.392578,0.899999976,0.899999976,7,8.399999619,135,293,825,0.393097588,1
23363,Afr,2015,Urea,TZA,Mbozi,0.9,0.9,32.3107517,-8.9662272,6.5,6.5,10.5,26.29999924,19,51,1393,0,1
23419,Afr,2015,Urea,TZA,Siha,1.06,1.06,37.3699163,-3.4704552,1.100000024,1.100000024,7.5,14.69999981,77,277,829,1,1
23439,Afr,2015,Urea,TZA,Mangula,1.06,1.06,34.888822,-6.369028,4.900000095,4.900000095,9.800000191,23.70000076,6,0,913,0.001467689,1
23449,Afr,2015,Urea,TZA,Mvomero,1,1,38.693748,-6.235617,1.899999976,2.799999952,3.200000048,14.5,30,0,1148,0,1
23484,Afr,2015,Urea,TZA,Kongwa,1.26,1.26,36.417495,-6.197011,1.799999952,1.799999952,4.599999905,8.899999619,95,29,1010,0.968449347,1
234921,Afr,2015,Urea,TZA,Mbarali,1.2,1.2,34.4308824,-8.9029857,2.099999905,3.599999905,3.599999905,15.69999981,46,55,1346,0,1
235002,Afr,2015,Urea,TZA,Ileje,0.88,0.88,33.3934943,-9.3930007,6.400000095,6.400000095,6.400000095,38.29999924,92,55,1563,0.17768581,1
235061,Afr,2015,Urea,TZA,Kinondoni,1.12,1.12,39.112735,-6.77424,0.699999988,0.699999988,0.699999988,1.700000048,2269,171,1279,0,1
235152,Afr,2015,Urea,TZA,Morogoro Urban,1.1,1.1,37.6591144,-6.8277556,0.300000012,0.300000012,0.300000012,6.400000095,1949,16,1243,0.447204844,1
235211,Afr,2015,Urea,TZA,Moshi Urban,0.96,0.96,37.430586,-3.533042,1.200000048,1.200000048,7.400000095,11,93,289,844,0.005462534,1
23524,Afr,2015,Urea,TZA,Simanjiro,1.58,1.58,37.1258593,-4.439505,4.300000191,4.300000191,8.699999809,20.89999962,9,10,826,0,1
23528,Afr,2015,Urea,TZA,Geita,1.22,1.22,32.232937,-2.886514,0.400000006,0.400000006,0.400000006,28.29999924,953,54,1213,0.000880857,1
23540,Afr,2015,Urea,TZA,Musoma Urban,1.44,1.44,33.800019,-1.500152,0.400000006,0.400000006,4.599999905,23.60000038,680,48,1540,0.99859,1
23546,Afr,2015,Urea,TZA,Mbeya,1.26,1.26,33.449365,-8.899421,0.400000006,0.400000006,0.400000006,18.79999924,1074,13,1300,0.740308581,1
236011,Afr,2016,Urea,TZA,Dar es Salaam,0.88,0.92,39.2083284,-6.792354,0.300000012,0.300000012,0.300000012,1.5,8088,0,1281,0.006936222,0.96
23613,Afr,2016,Urea,TZA,Iringa Rural,0.88,0.92,35.5657862,-7.7887442,2.400000095,2.400000095,8.100000381,15.30000019,29,0,1180,0.040725142,0.96
236411,Afr,2016,Urea,TZA,Tarakea Rombo,0.82,0.85,37.565349,-3.002242,6.699999809,6.699999809,11.60000038,15.69999981,154,192,777,0.361105316,0.96
23648,Afr,2016,Urea,TZA,Arusha,0.96,1,36.694023,-3.372658,0.100000001,0.100000001,6.199999809,10.30000019,6449,0,754,0.00124011,0.96
23660,Afr,2016,Urea,TZA,Moshi Rural,0.86,0.9,37.470878,-3.392578,0.899999976,0.899999976,7,8.399999619,135,293,825,0.393097588,0.96
23661,Afr,2016,Urea,TZA,Moshi Rural,1.04,1.08,37.470878,-3.392578,0.899999976,0.899999976,7,8.399999619,135,293,825,0.393097588,0.96
23675,Afr,2016,Urea,TZA,Chimala,0.86,0.9,34.025154,-8.856616,3.5,3.5,3.5,17.29999924,115,27,1324,0.044958394,0.96
23693,Afr,2016,Urea,TZA,Mbozi,0.96,1,32.3107517,-8.9662272,6.5,6.5,10.5,26.29999924,19,51,1393,0,0.96
23694,Afr,2016,Urea,TZA,Mbozi,0.96,1,32.3107517,-8.9662272,6.5,6.5,10.5,26.29999924,19,51,1393,0,0.96
23695,Afr,2016,Urea,TZA,Mbozi,0.28,0.29,32.3107517,-8.9662272,6.5,6.5,10.5,26.29999924,19,51,1393,0,0.96
23740,Afr,2016,Urea,TZA,Songea,0.84,0.88,35.642366,-10.646216,1.100000024,1.100000024,25.60000038,25.70000076,241,44,1411,0.534927288,0.96
23741,Afr,2016,Urea,TZA,Songea,0.84,0.88,35.642366,-10.646216,1.100000024,1.100000024,25.60000038,25.70000076,241,44,1411,0.534927288,0.96
23749,Afr,2016,Urea,TZA,Siha,0.96,1,37.3699163,-3.4704552,1.100000024,1.100000024,7.5,14.69999981,77,277,829,1,0.96
23779,Afr,2016,Urea,TZA,Mvomero,0.96,1,38.693748,-6.235617,1.899999976,2.799999952,3.200000048,14.5,30,0,1148,0,0.96
23796,Afr,2016,Urea,TZA,Kilombero,0.9,0.94,37.1258593,-8.0677121,16.20000076,18.10000038,18.89999962,27.60000038,5,0,1388,0,0.96
